timestamp,ros_time,latitude,longitude,altitude
1695668703694440960,1695668703695703109,46.778636555,-71.27366098166667,59.711
1695668704691005952,1695668704691129935,46.778636525,-71.27365979833333,59.688
1695668705695312128,1695668705698140098,46.778639453333334,-71.27365444166666,59.649
1695668706691232000,1695668706690075869,46.77864259333333,-71.27364660833334,59.68300000000001
1695668707692215808,1695668707691639740,46.77864642,-71.27363713333334,59.647999999999996
1695668708694354176,1695668708694810144,46.77865004666667,-71.27362789833333,59.599000000000004
1695668709691580928,1695668709691062487,46.7786547,-71.27361819166667,59.554
1695668710690949888,1695668710691366855,46.77865952333333,-71.27360756,59.534000000000006
1695668711695491072,1695668711698985586,46.77866425333333,-71.273598195,59.57600000000001
1695668712697334016,1695668712696632437,46.77866831833333,-71.27358859833333,59.55200000000001
1695668713691350016,1695668713690637205,46.77867264333333,-71.27357862666666,59.56100000000001
1695668714692392192,1695668714692139871,46.77867732666667,-71.27356868666666,59.578
1695668715690692864,1695668715690975361,46.778683126666664,-71.27355903,59.525999999999996
1695668716690628096,1695668716689787862,46.778689146666665,-71.27355116833333,59.535
1695668717693762048,1695668717697147573,46.77869393833333,-71.27354215833333,59.54900000000001
1695668718690952960,1695668718691444801,46.77869842,-71.27353300166666,59.522999999999996
1695668719693867008,1695668719693640002,46.77870282333333,-71.273522865,59.506
1695668720699363072,1695668720699565082,46.778708058333336,-71.27351294666667,59.415000000000006
1695668721690227968,1695668721690428762,46.778713135,-71.27350325666667,59.458
1695668722691319040,1695668722691595514,46.77871836333333,-71.27349296666667,59.46300000000001
1695668723695676160,1695668723698154579,46.77872324333333,-71.27348357666666,59.46000000000001
1695668724691448832,1695668724691123461,46.778728,-71.27347415333334,59.480000000000004
1695668725692395008,1695668725693104141,46.77873294333333,-71.27346408333334,59.432
1695668726691214080,1695668726691926413,46.77873845166667,-71.2734552,59.45700000000001
1695668727691677184,1695668727692201988,46.77874420166667,-71.273445895,59.41
1695668728692859904,1695668728696463538,46.77874974666667,-71.273436855,59.417
1695668729693944064,1695668729693331369,46.778755905,-71.27342738166666,59.415000000000006
1695668730689300992,1695668730689544930,46.77876181833334,-71.27341788,59.394000000000005
1695668731700946176,1695668731700301170,46.77876727666667,-71.273408475,59.428
1695668732691236096,1695668732690827351,46.77877311833333,-71.27339965,59.382999999999996
1695668733689037056,1695668733689102400,46.77877882666667,-71.27339045166667,59.438
1695668734687699968,1695668734687567931,46.77878475,-71.273381325,59.375
1695668735690089984,1695668735691901989,46.77879079833333,-71.273372355,59.370999999999995
1695668736691543040,1695668736691754934,46.77879641166667,-71.27336331166667,59.342
1695668737691538176,1695668737691682596,46.778802096666666,-71.273354155,59.245000000000005
1695668738691233024,1695668738691199128,46.77880768,-71.27334472666666,59.233999999999995
1695668739693198080,1695668739695199533,46.778812251666665,-71.27333643666667,59.223
1695668740692375040,1695668740692851820,46.778816946666666,-71.273328515,59.221000000000004
1695668741691822080,1695668741692466503,46.77882144,-71.27331974333333,59.253
1695668742690360064,1695668742691902858,46.778826025,-71.27331148666667,59.318
1695668743698575104,1695668743698145373,46.778831016666665,-71.27330373833334,59.30200000000001
1695668744689846016,1695668744689337509,46.77883464,-71.27329714666666,59.400999999999996
1695668745696003072,1695668745695960547,46.77883529,-71.273289875,59.42400000000001
1695668746690215936,1695668746690268317,46.77883607166667,-71.27328138666667,59.458
1695668747688396032,1695668747690423488,46.77883585666667,-71.27327209,59.471000000000004
1695668748689614080,1695668748688886238,46.77883268,-71.27326302333333,59.483999999999995
1695668749689383936,1695668749689547105,46.77882696166667,-71.273255075,59.524
1695668750688705024,1695668750688147236,46.77882057833333,-71.27324650833333,59.525000000000006
1695668751688183040,1695668751689241667,46.77881461333333,-71.27323770666666,59.498000000000005
1695668752686230784,1695668752686345820,46.77880816,-71.27322961833333,59.539
1695668753694302208,1695668753694463952,46.778801375,-71.27322207333333,59.492000000000004
1695668754694426112,1695668754695617184,46.77879406833333,-71.27321547166666,59.554
1695668755689136896,1695668755694231959,46.778787181666665,-71.27320804,59.557
1695668756689606912,1695668756689700411,46.778780178333335,-71.273200325,59.59
1695668757696752128,1695668757698896614,46.77877349166667,-71.273192245,59.619
1695668758687143936,1695668758687339177,46.77876709833333,-71.27318412333334,59.593
1695668759688440064,1695668759688037692,46.77876055666667,-71.27317583666667,59.617999999999995
1695668760743777024,1695668760743472810,46.77875435333333,-71.27316704333333,59.57000000000001
1695668761738171136,1695668761740918958,46.778747843333335,-71.27315938166667,59.620000000000005
1695668762735877120,1695668762737222104,46.778741235,-71.27315210833333,59.616
1695668763746053888,1695668763746459138,46.77873415333333,-71.27314564166667,59.649
1695668764745918976,1695668764744831328,46.778727571666664,-71.273137905,59.620000000000005
1695668765744525056,1695668765746492774,46.778721323333336,-71.27313055333333,59.60600000000001
1695668766741019904,1695668766740864327,46.77871435666667,-71.27312301166667,59.568
1695668767744142080,1695668767744469472,46.778708296666665,-71.27311459666667,59.623999999999995
1695668768741149952,1695668768740357677,46.77870204166667,-71.27310728,59.666
1695668769743885056,1695668769745671917,46.77869653,-71.27310143,59.650000000000006
1695668770739042048,1695668770739042103,46.778688735,-71.27310077166666,59.665000000000006
1695668771712306944,1695668771712512204,46.77868170666667,-71.27310000166666,59.678
1695668772737327104,1695668772736729246,46.77867389833333,-71.27309985166667,59.672
1695668773743385088,1695668773743244385,46.77866667833333,-71.27309868,59.664
1695668774740470016,1695668774741329003,46.77865878,-71.27309596333333,59.643
1695668775739622144,1695668775740078292,46.778651761666666,-71.273089435,59.657
1695668776719378944,1695668776719877820,46.778645006666665,-71.27308172166667,59.64
1695668777716964096,1695668777718039842,46.77863824833333,-71.27307400333333,59.599000000000004
1695668778740964864,1695668778739964212,46.77863136,-71.27306612333334,59.61299999999999
1695668779742255872,1695668779742698891,46.778624351666664,-71.2730575,59.550999999999995
1695668780741833984,1695668780742370373,46.778617866666664,-71.27304834,59.440999999999995
1695668781745943040,1695668781746052065,46.77861010833333,-71.27304092,59.517999999999994
1695668782742411008,1695668782743165423,46.77860321166666,-71.27303175333333,59.498
1695668783743254016,1695668783742978679,46.778596325,-71.27302325333333,59.564
1695668784732925952,1695668784733408097,46.77858892333333,-71.273015185,59.547999999999995
1695668785741199872,1695668785741175808,46.778581645,-71.27300685333333,59.614
1695668786745048064,1695668786747334538,46.77857469,-71.27299846833333,59.675000000000004
1695668787739382016,1695668787739070780,46.77856716833333,-71.27299071333333,59.749
1695668788739126016,1695668788740904740,46.77856131,-71.27298237166667,59.782999999999994
1695668789740783104,1695668789741745728,46.77855507666666,-71.27297480833333,59.701
1695668790744077056,1695668790743935026,46.77854845833333,-71.27296777333333,59.734
1695668791729753856,1695668791728729947,46.778541413333336,-71.272959775,59.723000000000006
1695668792740228864,1695668792739283069,46.778534916666665,-71.27295161166667,59.745
1695668793736918016,1695668793737852668,46.778528503333334,-71.27294320833333,59.698
1695668794740887040,1695668794741265823,46.77852098333334,-71.27293575833333,59.733
1695668795747712000,1695668795749598393,46.778513673333336,-71.272927765,59.746
1695668796747003136,1695668796746545635,46.778507145,-71.27291922833334,59.745
1695668797731916032,1695668797733447703,46.77850144333333,-71.27291077166667,59.799
1695668798742091008,1695668798743251887,46.77849526833333,-71.27290266833333,59.687000000000005
1695668799735287040,1695668799737239031,46.77848882166667,-71.27289552833334,59.714999999999996
1695668800742774016,1695668800743212987,46.77848316666667,-71.27288733333333,59.675999999999995
1695668801741793024,1695668801742575181,46.778477366666664,-71.27287901166666,59.717999999999996
1695668802750096128,1695668802751839116,46.77847169333333,-71.27287207166667,59.701
1695668803741888000,1695668803743413675,46.77846632666667,-71.272865095,59.690000000000005
1695668804738861056,1695668804738433998,46.77846074,-71.27285796833333,59.651999999999994
1695668805745884928,1695668805747854638,46.77845544,-71.27285154666667,59.678000000000004
1695668806741641984,1695668806741635957,46.77845077166667,-71.272846075,59.645
1695668807729615872,1695668807730261667,46.778447465,-71.27284301,59.62799999999999
1695668808742151936,1695668808744750934,46.77844533333333,-71.27283955166666,59.618
1695668809744453888,1695668809744842326,46.778443446666664,-71.27283923333333,59.599
1695668810744188160,1695668810743409977,46.77844245166666,-71.27283806,59.588
1695668811723452928,1695668811723045611,46.77844059666667,-71.27283827833334,59.553999999999995
1695668812734013952,1695668812737698670,46.778439821666666,-71.27284027,59.529999999999994
1695668813743032064,1695668813742676261,46.778439801666664,-71.27284606166667,59.474
1695668814744766976,1695668814744360066,46.77844088166667,-71.27285596166666,59.446000000000005
1695668815743149056,1695668815743929639,46.77844200166667,-71.27286747333333,59.407000000000004
1695668816748363008,1695668816748328110,46.77844339833333,-71.272879355,59.371
1695668817723862784,1695668817723691104,46.778445911666665,-71.2728905,59.355
1695668818733933056,1695668818735460176,46.77844889666667,-71.27290198333333,59.285999999999994
1695668819725778944,1695668819726174626,46.77845123666667,-71.27291325166667,59.297000000000004
1695668820715707136,1695668820717249972,46.778453453333334,-71.27292511666667,59.239
1695668821732403968,1695668821733045262,46.77845546166667,-71.2729368,59.27
1695668822735235072,1695668822734981376,46.77845775666667,-71.27294815166667,59.226000000000006
1695668823745836032,1695668823747599346,46.77846086,-71.27295929333333,59.217999999999996
1695668824740833024,1695668824740068912,46.77846389,-71.27297033666666,59.205000000000005
1695668825748864000,1695668825748794099,46.778466486666666,-71.27298162166667,59.211999999999996
1695668826743837952,1695668826744423528,46.778469263333335,-71.27299179,59.181999999999995
