x,y,z,intensity,ring,time
-4.708113,4.6379695,-1.77084,18.0,0,-0.099235535
-37.36717,36.823322,0.91572773,31.0,8,-0.09923323
-5.556722,5.4777584,-1.801408,35.0,1,-0.09923093
-37.367115,36.848972,2.7503593,28.0,9,-0.09922862
-7.1655765,7.0662165,-1.956174,8.0,2,-0.09922632
-37.658226,37.14903,4.6279697,18.0,10,-0.099224016
-13.385461,13.209072,-2.9785125,13.0,3,-0.099221714
-37.175884,36.724434,-4.5718412,32.0,5,-0.0992125
-37.2269,36.80053,-2.7433465,17.0,6,-0.099207886
-37.21822,36.817646,-0.913808,38.0,7,-0.09920328
-4.705611,4.66798,-1.7760164,16.0,0,-0.09918024
-37.133373,36.849293,0.9131448,30.0,8,-0.099177934
-5.516822,5.4765277,-1.7946595,37.0,1,-0.09917563
-37.32613,37.06644,2.756849,29.0,9,-0.09917333
-7.119971,7.070435,-1.9504496,8.0,2,-0.09917102
-13.081452,12.999513,-2.9209447,12.0,3,-0.099166416
-36.988136,36.794964,-4.5645204,32.0,5,-0.0991572
-36.98923,36.821747,-2.7352867,34.0,6,-0.09915259
-37.008724,36.866894,-0.91181844,38.0,7,-0.09914798
-4.6810865,4.676187,-1.7729106,16.0,0,-0.099124946
-36.994617,36.9688,0.9129005,20.0,8,-0.099122636
-5.481133,5.4792194,-1.7892607,55.0,1,-0.099120334
-37.337193,37.324158,2.7667928,9.0,9,-0.09911803
-7.081364,7.081363,-1.9466335,8.0,2,-0.09911573
-13.047166,13.056275,-2.9234478,17.0,3,-0.09911112
-36.76376,36.827972,-4.5526676,32.0,5,-0.0991019
-36.771606,36.861557,-2.7286925,17.0,6,-0.0990973
-36.77189,36.874725,-0.90899116,19.0,7,-0.099092685
-4.673728,4.699902,-1.7760164,11.0,0,-0.09906965
-37.039585,37.260036,0.9170541,20.0,8,-0.099067345
-5.4794164,5.5139527,-1.7946595,50.0,1,-0.099065036
-7.0315533,7.078344,-1.9393828,8.0,2,-0.09906043
-12.936997,13.032179,-2.9084299,25.0,3,-0.09905582
-36.534805,36.842167,-4.5394197,31.0,5,-0.09904661
-36.55638,36.889664,-2.721784,17.0,6,-0.099042
-36.731037,37.07885,-0.91101557,19.0,7,-0.099037394
-4.668978,4.72637,-1.7801574,11.0,0,-0.09901435
-5.474791,5.5459614,-1.7991585,55.0,1,-0.099009745
-38.701202,39.21797,2.8875844,10.0,9,-0.099007435
-7.0011487,7.0946336,-1.9374746,11.0,2,-0.09900513
-12.836842,13.017341,-2.8956022,38.0,3,-0.09900053
-39.973392,40.57793,9.021577,17.0,12,-0.098993614
-36.325745,36.875114,-4.528612,31.0,5,-0.09899131
-36.439453,37.01638,-2.7222028,17.0,6,-0.0989867
-36.769665,37.377907,-0.9152042,19.0,7,-0.098982096
-4.645687,4.7357435,-1.7775693,11.0,0,-0.09895905
-5.4376664,5.5469465,-1.7933098,47.0,1,-0.09895445
-6.9571013,7.0994,-1.932132,8.0,2,-0.09894984
-12.810676,13.081825,-2.8999825,29.0,3,-0.09894523
-35.82769,36.61159,-6.289677,21.0,4,-0.098940626
-36.127144,36.93047,-4.5198965,31.0,5,-0.098936014
-36.474762,37.31188,-2.734554,17.0,6,-0.09893141
-4.645303,4.768538,-1.7837809,11.0,0,-0.09890376
-5.4196296,5.5672903,-1.7937597,45.0,1,-0.09889915
-6.904894,7.0955014,-1.9244996,11.0,2,-0.098894544
-12.068089,12.409883,-2.7416708,4.0,3,-0.09888993
-35.768856,36.807606,-6.301864,21.0,4,-0.09888533
-36.17293,37.23643,-4.54186,15.0,5,-0.098880716
-38.1341,39.310135,-0.95597297,23.0,7,-0.0988715
-4.617885,4.7736154,-1.7796398,9.0,0,-0.09884846
-5.4272504,5.6141973,-1.8027576,45.0,1,-0.09884386
-6.859621,7.0983834,-1.9187754,8.0,2,-0.098839246
-11.964316,12.389414,-2.7279046,8.0,3,-0.09883464
-35.709076,37.00366,-6.314051,21.0,4,-0.09883003
-4.5904865,4.77856,-1.7754986,11.0,0,-0.098793164
-5.4251657,5.6513824,-1.8086064,40.0,1,-0.09878856
-38.880024,40.515385,2.942851,11.0,9,-0.09878626
-6.819848,7.1067033,-1.9145776,8.0,2,-0.09878395
-11.890919,12.399733,-2.7210214,12.0,3,-0.09877934
-39.897617,41.648464,9.134835,17.0,12,-0.09877243
-4.5737786,4.7945547,-1.7754986,9.0,0,-0.09873787
-5.402716,5.6674647,-1.8077066,50.0,1,-0.09873326
-6.7706194,7.1048822,-1.9077084,8.0,2,-0.09872866
-11.786261,12.37679,-2.7069423,20.0,3,-0.098724045
