x,y,z,intensity,ring,time
-1.0413414,4.1304884,-1.1413921,32.0,0,-0.09933376
-12.120897,48.11315,0.8660582,9.0,8,-0.09933146
-1.2193004,4.843506,-1.1530992,31.0,1,-0.09932916
-3.4842474,13.8508835,0.74850893,11.0,9,-0.09932685
-1.451199,5.768933,-1.1563026,38.0,2,-0.09932455
-3.053678,12.148232,1.0958962,41.0,10,-0.099322245
-1.8195356,7.243877,-1.1829575,30.0,3,-0.09931994
-3.3644776,13.404425,1.696909,42.0,11,-0.09931763
-2.6662352,10.630433,-1.3456814,37.0,4,-0.09931533
-3.2405796,12.929939,2.1112397,24.0,12,-0.09931303
-4.2222013,16.846619,-1.5194731,8.0,5,-0.099310726
-3.428791,13.6910095,2.7434518,43.0,13,-0.099308416
-3.1868944,12.744026,3.03279,45.0,14,-0.09930381
-8.1616535,32.685993,9.027091,15.0,15,-0.0992992
-1.0194643,4.1041007,-1.1331098,31.0,0,-0.099278465
-1.1958191,4.821252,-1.1468004,27.0,1,-0.09927386
-7.6184053,30.738516,1.659678,45.0,9,-0.09927156
-1.420661,5.732041,-1.147907,33.0,2,-0.09926925
-3.3077364,13.355939,1.2037951,33.0,10,-0.09926695
-1.774306,7.169648,-1.1698171,23.0,3,-0.099264644
-3.1365786,12.68381,1.6042881,12.0,11,-0.09926234
-2.6033993,10.53561,-1.3325195,31.0,4,-0.09926003
-3.2110493,13.00446,2.1215644,32.0,12,-0.09925773
-4.096977,16.59239,-1.4952438,14.0,5,-0.09925543
-3.3870897,13.7276745,2.7484128,37.0,13,-0.099253125
-3.1106877,12.626408,3.0021968,46.0,14,-0.09924851
-3.1204367,12.685014,3.5002687,45.0,15,-0.09924391
-1.0023758,4.096375,-1.130004,30.0,0,-0.099223174
-11.786157,48.20242,0.8661629,18.0,8,-0.099220864
-1.1516944,4.713706,-1.1202562,30.0,1,-0.09921856
-7.50269,30.707344,1.6566426,56.0,9,-0.09921626
-1.4104205,5.7770166,-1.1559209,36.0,2,-0.09921396
