x,y,z,intensity,ring,time
-3.5387726,4.9030213,-1.6202073,33.0,0,-0.099579096
-4.26106,5.908106,-1.6817341,47.0,1,-0.09957449
-40.600014,56.29331,3.6374543,94.0,9,-0.09957218
-5.3446045,7.413204,-1.7764318,52.0,2,-0.09956988
-40.778465,56.582355,6.101948,43.0,10,-0.09956758
-7.589664,10.534951,-2.0564878,12.0,3,-0.099565275
-19.909132,27.645353,4.1830435,10.0,11,-0.099562965
-15.936669,22.13743,-3.3492136,5.0,4,-0.09956066
-19.260773,26.774603,6.411183,11.0,13,-0.09955375
-18.813366,26.171923,7.441381,11.0,14,-0.099549145
-3.5115108,4.90121,-1.6155485,28.0,0,-0.0995238
-40.325535,56.284576,1.2085791,73.0,8,-0.099521495
-4.2425804,5.923787,-1.682184,42.0,1,-0.09951919
-40.363743,56.37946,3.6338952,62.0,9,-0.09951689
-5.334693,7.454166,-1.7817745,49.0,2,-0.09951458
-20.162844,28.183931,3.0317998,14.0,10,-0.09951228
-7.527105,10.521502,-2.0489788,12.0,3,-0.09950998
-19.864698,27.777422,4.193037,5.0,11,-0.099507675
-15.758121,22.043196,-3.3270333,38.0,4,-0.099505365
-19.560284,27.371933,5.328471,5.0,12,-0.09950306
-15.941735,22.324764,-1.4376688,4.0,6,-0.09949615
-18.716288,26.219889,7.4373317,8.0,14,-0.09949385
-3.4762015,4.886067,-1.6067487,24.0,0,-0.09946851
-40.067383,56.338642,1.2067292,73.0,8,-0.0994662
-4.172193,5.8686776,-1.6623883,45.0,1,-0.099463895
-5.3179035,7.4830184,-1.7844458,44.0,2,-0.09945929
-7.440005,10.476848,-2.0352125,12.0,3,-0.09945468
-19.767609,27.846596,4.193037,5.0,11,-0.09945238
-15.62823,22.023603,-3.3158214,44.0,4,-0.099450074
-19.437178,27.401379,5.3209624,5.0,12,-0.099447764
-19.623167,27.673805,6.5943594,11.0,13,-0.09944316
-39.841198,56.207317,-3.6106582,44.0,6,-0.09944086
-19.200361,27.097584,7.667232,20.0,14,-0.099438556
-39.87593,56.29796,-1.204216,46.0,7,-0.099436246
-3.46581,4.9076405,-1.6098546,21.0,0,-0.09941321
-39.95814,56.602306,1.209382,36.0,8,-0.09941091
-4.124717,5.844991,-1.6515907,40.0,1,-0.0994086
-5.2826986,7.4887004,-1.7813929,49.0,2,-0.09940399
-7.3863196,10.478535,-2.0305195,12.0,3,-0.09939938
