x,y,z,intensity,ring,time
0.9856226,2.7065105,-0.77179843,45.0,0,-0.099481344
5.077618,13.935507,0.258889,22.0,8,-0.09947904
1.0225594,2.8048892,-0.68925005,33.0,1,-0.09947674
11.360581,31.145235,1.7374493,20.0,9,-0.09947443
1.2257706,3.3604717,-0.695308,37.0,2,-0.09947213
1.4133943,3.8706539,-0.6526447,43.0,3,-0.09946752
1.6581994,4.536151,-0.59301627,39.0,4,-0.09946291
19.839636,54.243713,9.147976,17.0,12,-0.09946061
1.9162561,5.2392516,-0.48807216,58.0,5,-0.09945831
19.313734,52.777206,10.924197,36.0,13,-0.099456
2.370504,6.4742084,-0.36132747,40.0,6,-0.099453695
18.272179,49.87715,12.263432,7.0,14,-0.09945139
3.282707,8.955877,-0.16649596,37.0,7,-0.09944909
0.9977344,2.7103052,-0.773869,38.0,0,-0.099426046
5.113794,13.88392,0.2582607,19.0,8,-0.099423744
1.0491898,2.847016,-0.70049757,39.0,1,-0.09942144
11.344835,30.76809,1.7186083,23.0,9,-0.09941914
1.2293407,3.334069,-0.6907286,30.0,2,-0.09941683
1.4275799,3.86755,-0.65295756,40.0,3,-0.099412225
25.379068,68.71917,8.994689,48.0,11,-0.09940992
1.6396222,4.4372325,-0.5808293,45.0,4,-0.09940761
19.99805,54.090748,9.133897,35.0,12,-0.09940531
1.9303887,5.221317,-0.48702627,39.0,5,-0.09940301
19.454214,52.591637,10.899774,36.0,13,-0.09940071
2.3910105,6.460274,-0.36101347,36.0,6,-0.0993984
18.357534,49.57366,12.204494,15.0,14,-0.099396095
3.251415,8.775604,-0.16335453,37.0,7,-0.09939379
19.637815,52.974213,15.138327,34.0,15,-0.09939149
1.0119058,2.7194798,-0.77749246,41.0,0,-0.099370755
5.002446,13.436835,0.2502675,21.0,8,-0.099368446
1.0747675,2.8853378,-0.7108453,32.0,1,-0.09936614
10.661802,28.62284,1.6007477,3.0,9,-0.09936384
1.2437148,3.3371158,-0.6922551,34.0,2,-0.09936154
26.107273,70.01338,6.537378,53.0,10,-0.09935923
1.433477,3.8421843,-0.649516,43.0,3,-0.09935693
25.716,68.890526,9.028813,49.0,11,-0.099354625
1.6731563,4.479834,-0.58716655,52.0,4,-0.09935232
1.9702218,5.2724037,-0.4924299,42.0,5,-0.09934771
2.4142418,6.453761,-0.3611181,42.0,6,-0.099343106
18.59945,49.69362,12.249934,7.0,14,-0.099340804
3.255266,8.697351,-0.16209795,35.0,7,-0.099338494
1.002351,2.665301,-0.7629986,42.0,0,-0.09931546
4.9709587,13.218026,0.2464978,40.0,8,-0.099313155
1.0712897,2.8471043,-0.7022972,41.0,1,-0.099310845
10.640619,28.263947,1.5827441,3.0,9,-0.09930854
1.2276736,3.2592647,-0.67699033,37.0,2,-0.09930624
1.4448161,3.8337126,-0.64889026,45.0,3,-0.09930163
20.318842,53.885963,7.0711036,15.0,11,-0.09929933
1.6816975,4.4575443,-0.5849729,49.0,4,-0.099297024
20.077637,53.190117,9.004682,17.0,12,-0.09929472
1.9710169,5.218897,-0.48807216,39.0,5,-0.09929242
19.924139,52.75552,10.961596,36.0,13,-0.09929011
2.4172766,6.3971424,-0.35839668,31.0,6,-0.09928781
18.391298,48.645527,12.006538,14.0,14,-0.099285506
3.271458,8.648527,-0.16139986,35.0,7,-0.0992832
1.0070674,2.651127,-0.75989276,41.0,0,-0.09926016
5.024176,13.219284,0.24684684,35.0,8,-0.09925786
1.077759,2.8342397,-0.7000477,53.0,1,-0.099255554
10.759792,28.280775,1.5857797,17.0,9,-0.099253245
1.1986814,3.1505847,-0.65523815,41.0,2,-0.09925094
1.4588937,3.8304918,-0.6492031,37.0,3,-0.09924634
20.36682,53.44744,7.0228434,29.0,11,-0.099244036
1.6993698,4.457211,-0.5857041,52.0,4,-0.099241726
20.251932,53.09017,8.999676,34.0,12,-0.099239424
1.9876013,5.2104707,-0.4878978,40.0,5,-0.09923712
20.01015,52.428867,10.90817,36.0,13,-0.09923482
2.4324684,6.3700066,-0.35734996,44.0,6,-0.09923251
19.215477,50.29403,12.429895,8.0,14,-0.09923021
3.2673523,8.547399,-0.15972443,35.0,7,-0.099227905
18.305159,47.86127,13.730351,24.0,15,-0.0992256
1.013547,2.6403813,-0.7578222,41.0,0,-0.09920486
5.022968,13.078462,0.24454312,43.0,8,-0.09920256
1.118401,2.910499,-0.7198433,44.0,1,-0.099200256
10.724423,27.894428,1.566206,30.0,9,-0.099197954
1.1948773,3.1078985,-0.6472241,30.0,2,-0.09919565
20.609438,53.577553,5.0222626,21.0,10,-0.09919334
1.4580644,3.7885048,-0.6429457,42.0,3,-0.09919104
20.528309,53.311172,7.0143127,29.0,11,-0.09918874
1.7156327,4.453104,-0.5859478,57.0,4,-0.099186435
1.9749621,5.123562,-0.48040244,32.0,5,-0.09918182
20.212809,52.40999,10.918855,36.0,13,-0.09917952
2.367691,6.136011,-0.34468466,21.0,6,-0.09917722
18.920664,49.008617,12.128462,7.0,14,-0.09917491
3.2726684,8.472518,-0.15853767,39.0,7,-0.09917261
1.0311402,2.6584408,-0.76403385,42.0,0,-0.09914957
5.103313,13.150333,0.24621855,43.0,8,-0.09914727
1.1320814,2.9156601,-0.72209287,41.0,1,-0.09914496
10.367533,26.687672,1.5004721,9.0,9,-0.099142656
1.2284673,3.1622694,-0.6594359,46.0,2,-0.09914035
20.763119,53.41986,5.014244,21.0,10,-0.09913805
1.4712808,3.783392,-0.6429457,38.0,3,-0.09913574
1.7239645,4.42859,-0.58351046,57.0,4,-0.09913114
2.0067506,5.149704,-0.48354006,42.0,5,-0.099126525
2.4761548,6.3510084,-0.35724527,34.0,6,-0.09912192
3.279687,8.403294,-0.15745561,39.0,7,-0.09911731
19.909311,50.985847,14.666241,31.0,15,-0.09911501
1.0387619,2.6492476,-0.7624809,46.0,0,-0.09909427
5.1061206,13.022598,0.24415916,42.0,8,-0.09909197
1.123036,2.8627093,-0.7099455,40.0,1,-0.09908967
10.152689,25.866743,1.4563005,18.0,9,-0.09908736
1.2565554,3.1997755,-0.6682131,41.0,2,-0.099085055
20.976248,53.38791,5.0184274,21.0,10,-0.09908275
1.4627335,3.720983,-0.63324684,30.0,3,-0.09908045
26.003342,66.14875,8.727064,43.0,11,-0.09907814
1.7299663,4.39853,-0.5803418,51.0,4,-0.09907584
2.0349312,5.1686225,-0.48598042,39.0,5,-0.099071234
2.4928234,6.325167,-0.35630322,40.0,6,-0.09906662
20.913595,53.03799,13.162335,9.0,14,-0.09906432
3.258384,8.263435,-0.1550472,32.0,7,-0.09906202
19.554008,49.564655,14.276977,28.0,15,-0.099059716
1.048714,2.6474018,-0.7629986,44.0,0,-0.09903897
5.069826,12.791866,0.24018003,34.0,8,-0.09903667
1.1263382,2.8404584,-0.7054465,40.0,1,-0.09903437
10.163414,25.630627,1.4449959,27.0,9,-0.09903207
1.2640965,3.186246,-0.66630507,34.0,2,-0.09902976
26.485828,66.72536,6.2807913,47.0,10,-0.099027455
1.4975876,3.770931,-0.6426329,38.0,3,-0.09902515
26.239735,66.03824,8.725114,43.0,11,-0.09902285
1.7489737,4.401689,-0.58156055,57.0,4,-0.09902054
2.0411804,5.1318655,-0.48319143,39.0,5,-0.099015936
2.4328818,6.1104565,-0.34468466,23.0,6,-0.09901133
3.2613103,8.18699,-0.1538255,28.0,7,-0.09900672
1.0596404,2.6492906,-0.7645515,46.0,0,-0.09898368
5.124102,12.804689,0.2407385,43.0,8,-0.09898137
1.1473402,2.8656542,-0.71264493,47.0,1,-0.09897907
10.105814,25.240786,1.4248989,25.0,9,-0.09897677
1.2768465,3.1875033,-0.6674499,41.0,2,-0.09897447
1.5137594,3.7751117,-0.64419717,41.0,3,-0.098969854
26.686253,66.51831,8.800186,44.0,11,-0.09896755
1.7546922,4.373756,-0.5786357,57.0,4,-0.09896525
2.0411088,5.0825453,-0.47918224,34.0,5,-0.09896064
2.5306053,6.2950807,-0.35557052,29.0,6,-0.09895603
3.2727697,8.13717,-0.1530925,34.0,7,-0.09895142
1.0713129,2.6529274,-0.76662207,46.0,0,-0.098928384
5.1088586,12.644861,0.23805082,37.0,8,-0.09892608
1.1575664,2.8636403,-0.71309483,41.0,1,-0.09892377
10.0598135,24.87393,1.4061626,34.0,9,-0.09892147
1.2710288,3.1411688,-0.6586727,23.0,2,-0.09891917
26.833622,66.31552,6.258828,46.0,10,-0.098916866
1.463263,3.614434,-0.61760336,29.0,3,-0.09891456
1.7632399,4.3510456,-0.576442,60.0,4,-0.09890995
2.0356195,5.0181556,-0.4737786,37.0,5,-0.09890535
2.4541297,6.043791,-0.3418585,20.0,6,-0.098900735
25.650457,63.169437,15.740274,15.0,14,-0.09889843
3.292873,8.105317,-0.15270855,37.0,7,-0.09889613
1.0861382,2.6615038,-0.7702455,47.0,0,-0.098873086
5.062949,12.400191,0.23379244,34.0,8,-0.098870784
1.1474206,2.8088655,-0.70049757,45.0,1,-0.09886848
10.081391,24.666803,1.3965328,52.0,9,-0.09886618
1.2751019,3.1183174,-0.6548565,38.0,2,-0.09886387
27.001078,66.03231,6.2413974,46.0,10,-0.09886157
