x,y,z,intensity,ring,time
-4.4285226,4.8874054,-1.7672166,9.0,0,-0.09948468
-37.941967,41.888218,0.9865147,24.0,8,-0.09948238
-5.263395,5.812866,-1.8104061,15.0,1,-0.09948008
-6.5887628,7.279145,-1.9084717,14.0,2,-0.099475466
-11.238277,12.424565,-2.6534417,28.0,3,-0.09947086
-37.741646,41.769505,-4.925171,20.0,5,-0.099461645
-37.6881,41.73952,-2.9472473,46.0,6,-0.09945703
-37.732883,41.818455,-0.9831639,51.0,7,-0.09945243
-4.3998055,4.889909,-1.7625577,11.0,0,-0.099429384
-5.2352557,5.822508,-1.8077066,15.0,1,-0.09942478
-6.5882487,7.3298426,-1.9157225,17.0,2,-0.09942017
-11.090564,12.347618,-2.628725,24.0,3,-0.09941556
-28.475142,31.724926,-5.2342887,13.0,4,-0.09941095
-37.43994,41.727478,-4.9047766,40.0,5,-0.09940635
-37.471504,41.79201,-2.9416997,46.0,6,-0.099401735
-37.668076,42.04076,-0.98529303,25.0,7,-0.09939713
-4.3801336,4.902357,-1.7615224,11.0,0,-0.09937409
-5.2019205,5.8262105,-1.8032078,10.0,1,-0.09936948
-39.386116,44.128426,3.099859,12.0,9,-0.09936718
-6.5626206,7.352797,-1.9157225,17.0,2,-0.09936488
-10.8830385,12.201982,-2.5896165,12.0,3,-0.099360265
-22.82215,25.60601,-4.211561,8.0,4,-0.09935566
-37.211884,41.765686,-4.8939695,40.0,5,-0.09935105
-37.332043,41.930008,-2.942223,23.0,6,-0.099346444
-4.3488927,4.90172,-1.7558285,11.0,0,-0.099318795
-5.177671,5.8399596,-1.801858,10.0,1,-0.09931418
-6.5251966,7.362435,-1.9122878,14.0,2,-0.09930958
-10.405555,11.74894,-2.485744,4.0,3,-0.09930497
-22.549757,25.478893,-4.1776814,32.0,4,-0.09930036
-22.888258,25.870474,-3.022038,12.0,5,-0.09929576
-4.315154,4.898027,-1.7490991,13.0,0,-0.0992635
-5.148242,5.847758,-1.7987086,12.0,1,-0.09925889
-6.5059423,7.3925366,-1.914196,17.0,2,-0.09925428
-10.228812,11.630922,-2.4532056,4.0,3,-0.099249676
-22.365015,25.448608,-4.1598887,47.0,4,-0.099245064
-40.851772,46.500584,9.803436,24.0,12,-0.09924276
-22.737328,25.88135,-3.0140197,18.0,5,-0.09924046
-38.73443,44.152588,-1.0252242,29.0,7,-0.09923124
-4.2878547,4.9014273,-1.744958,13.0,0,-0.0992082
-5.1136894,5.8495545,-1.7937597,10.0,1,-0.099203594
