x,y,z,intensity,ring,time
1.228864,2.1190503,-0.6563651,38.0,0,-0.099086285
4.2155867,7.266425,0.14663512,90.0,8,-0.09908398
1.3684978,2.3579352,-0.62941307,37.0,1,-0.09908168
6.322092,10.893026,0.6600611,33.0,9,-0.09907937
1.5890747,2.736894,-0.6151683,33.0,2,-0.09907707
12.100563,20.832657,2.1077745,16.0,10,-0.099074766
1.76956,3.0452952,-0.55784535,36.0,3,-0.099072464
1.9104847,3.2865005,-0.46675962,39.0,4,-0.09906785
28.81952,49.556705,9.07977,17.0,12,-0.09906555
2.2743392,3.9092734,-0.39568707,34.0,5,-0.09906325
20.519432,35.25594,7.9292593,33.0,13,-0.09906094
2.50537,4.3029323,-0.2609471,19.0,6,-0.099058636
20.07379,34.47641,9.210396,24.0,14,-0.09905633
3.2107034,5.5121126,-0.11134635,20.0,7,-0.09905403
1.2631747,2.1616664,-0.670859,28.0,0,-0.09903099
4.2588367,7.285206,0.14729832,100.0,8,-0.099028684
1.3822117,2.3634775,-0.6321125,39.0,1,-0.09902638
6.3198633,10.806488,0.6560836,30.0,9,-0.09902408
1.570382,2.684162,-0.60448295,31.0,2,-0.09902177
11.866654,20.274837,2.0553067,20.0,10,-0.09901947
1.7826427,3.044525,-0.558784,39.0,3,-0.099017166
1.9364218,3.3058405,-0.4704157,46.0,4,-0.09901255
29.01767,49.518806,9.090408,17.0,12,-0.09901025
2.3074417,3.9360864,-0.39917332,33.0,5,-0.09900795
20.642183,35.19786,7.9315486,16.0,13,-0.09900565
2.5994701,4.43069,-0.26921618,28.0,6,-0.09900334
20.182102,34.399563,9.207697,12.0,14,-0.099001035
3.2087197,5.466944,-0.11064825,20.0,7,-0.09899873
1.2507329,2.1241713,-0.6605062,38.0,0,-0.098975696
4.285001,7.27449,0.14736812,92.0,8,-0.098973386
1.3821265,2.3454497,-0.6285133,39.0,1,-0.098971084
5.8980727,10.004957,0.6086672,28.0,9,-0.09896878
1.5892453,2.6958518,-0.60829914,47.0,2,-0.09896648
11.904467,20.185608,2.0502515,28.0,10,-0.09896417
1.7455511,2.958634,-0.5440791,37.0,3,-0.09896187
33.657295,57.02492,8.130392,31.0,11,-0.098959565
1.9388669,3.2836761,-0.46822205,34.0,4,-0.09895726
21.82018,36.940018,6.7952013,8.0,12,-0.09895495
2.3029213,3.8971334,-0.39603567,33.0,5,-0.09895265
20.9226,35.406406,7.9941344,17.0,13,-0.09895035
2.4738863,4.184782,-0.25477144,20.0,6,-0.09894805
20.9786,35.47286,9.514529,17.0,14,-0.098945744
3.2664747,5.521111,-0.11197464,30.0,7,-0.098943435
21.483068,36.296986,11.301593,13.0,15,-0.09894113
1.2565368,2.1162508,-0.659471,44.0,0,-0.0989204
4.2868843,7.2199416,0.14656532,72.0,8,-0.098918095
1.377367,2.3188303,-0.6226645,44.0,1,-0.098915786
6.281901,10.571517,0.644465,21.0,9,-0.09891348
1.5971082,2.686634,-0.6075359,36.0,2,-0.09891118
11.923373,20.04937,2.0408387,36.0,10,-0.09890888
1.7604241,2.9590063,-0.5453306,31.0,3,-0.09890657
1.9259502,3.2359488,-0.46237233,34.0,4,-0.098901965
21.894396,36.771988,6.778306,8.0,12,-0.09889966
2.2869437,3.8394299,-0.39098063,30.0,5,-0.09889736
21.1889,35.558857,8.046035,17.0,13,-0.09889505
2.6190894,4.3935633,-0.2680648,33.0,6,-0.09889275
20.842966,34.95053,9.394856,17.0,14,-0.098890446
3.3226008,5.5715036,-0.11323121,30.0,7,-0.098888144
21.1405,35.435387,11.056232,12.0,15,-0.098885834
1.2748297,2.1300857,-0.665165,49.0,0,-0.0988651
4.2331963,7.0703564,0.14384274,75.0,8,-0.0988628
1.3698359,2.2870173,-0.61546606,40.0,1,-0.098860495
6.147375,10.263386,0.62698483,24.0,9,-0.098858185
1.601432,2.672622,-0.60562783,39.0,2,-0.09885588
11.927733,19.898256,2.0296829,32.0,10,-0.09885358
1.7707416,2.9528437,-0.5453306,31.0,3,-0.09885128
1.9678712,3.280274,-0.46968448,25.0,4,-0.09884667
21.965706,36.600483,6.7607856,17.0,12,-0.098844364
2.3485322,3.911708,-0.39917332,34.0,5,-0.09884206
21.387705,35.60921,8.074274,17.0,13,-0.09883976
2.6138356,4.3501554,-0.26597136,30.0,6,-0.09883745
20.76403,34.557167,9.307575,21.0,14,-0.09883515
3.2760937,5.450183,-0.110997304,22.0,7,-0.098832846
21.672232,36.04017,11.268464,13.0,15,-0.09883054
1.2838811,2.1291554,-0.6662002,43.0,0,-0.0988098
4.2307982,7.013471,0.14297011,87.0,8,-0.0988075
1.3733844,2.2757888,-0.6136665,40.0,1,-0.0988052
6.0957217,10.101014,0.61829704,28.0,9,-0.098802894
1.5839039,2.6235983,-0.59570575,41.0,2,-0.09880059
11.897864,19.69998,2.0134718,23.0,10,-0.09879828
1.7784802,2.9435744,-0.54470485,37.0,3,-0.09879598
30.4389,50.359715,7.225147,15.0,11,-0.09879368
1.9941418,3.299213,-0.47334057,42.0,4,-0.098791376
21.93365,36.273876,6.7138553,8.0,12,-0.098789066
2.3439598,3.874918,-0.39620999,35.0,5,-0.098786764
21.074717,34.825912,7.912468,16.0,13,-0.09878446
2.693411,4.4491024,-0.2725657,33.0,6,-0.09878216
20.499056,33.861298,9.1384115,20.0,14,-0.09877985
3.1864147,5.261401,-0.10736721,19.0,7,-0.09877755
21.76761,35.92844,11.256041,26.0,15,-0.098775245
1.2839139,2.1133287,-0.6625768,45.0,0,-0.09875451
4.264414,7.0164948,0.14331917,80.0,8,-0.09875221
1.3849738,2.2778819,-0.61546606,62.0,1,-0.0987499
6.166236,10.137691,0.6218559,28.0,9,-0.098747596
1.6283045,2.6770377,-0.6090624,33.0,2,-0.098745294
11.518817,18.930239,1.9386923,11.0,10,-0.09874299
1.7605,2.8921018,-0.53625745,29.0,3,-0.09874068
30.587137,50.227985,7.2207594,15.0,11,-0.09873838
2.002547,3.2871463,-0.47260937,38.0,4,-0.09873608
21.987137,36.077335,6.6916413,17.0,12,-0.098733775
2.2952423,3.7646427,-0.3857513,38.0,5,-0.098731466
21.183947,34.74578,7.910178,16.0,13,-0.09872916
2.7518291,4.5117617,-0.27696192,28.0,6,-0.09872686
21.240349,34.810947,9.414651,12.0,14,-0.09872456
3.3370786,5.4670143,-0.11180011,26.0,7,-0.09872225
20.936424,34.285923,10.764284,23.0,15,-0.09871995
1.2825685,2.093783,-0.65791804,49.0,0,-0.09869921
4.285748,6.9964495,0.14321445,85.0,8,-0.09869691
1.3969902,2.2796795,-0.6172657,54.0,1,-0.09869461
6.0930214,9.939019,0.61097,31.0,9,-0.0986923
1.6175771,2.6375806,-0.60143,37.0,2,-0.098689996
