x,y,z,intensity,ring,time
1.422515,2.1581783,-0.6925998,48.0,0,-0.09917784
5.199047,7.884774,0.16485542,63.0,8,-0.099175535
1.6138344,2.4465783,-0.6766528,42.0,1,-0.09917323
8.054524,12.210687,0.7666172,27.0,9,-0.09917092
1.8371377,2.7840526,-0.648369,41.0,2,-0.09916862
16.143024,24.45433,2.5635989,20.0,10,-0.09916632
2.0116553,3.046205,-0.57818186,47.0,3,-0.09916402
23.493574,35.56234,5.2333136,24.0,11,-0.09916171
2.253555,3.4099197,-0.501858,37.0,4,-0.099159405
22.749819,34.42341,6.535207,15.0,12,-0.0991571
2.5964725,3.927308,-0.41189805,31.0,5,-0.0991548
23.002272,34.779045,8.105185,36.0,13,-0.09915249
3.1067371,4.6955476,-0.29507017,39.0,6,-0.09915019
23.887598,36.09022,9.991877,14.0,14,-0.099147886
3.8850453,5.8696623,-0.12286495,26.0,7,-0.099145584
28.456375,42.976635,13.811103,25.0,15,-0.099143274
1.426834,2.1483712,-0.6910469,51.0,0,-0.09912254
5.1919775,7.817515,0.16380829,61.0,8,-0.09912024
1.6176245,2.434721,-0.6748532,40.0,1,-0.099117935
7.7333674,11.63525,0.7321801,27.0,9,-0.09911563
1.8707597,2.813589,-0.65676457,41.0,2,-0.09911332
16.074917,24.167236,2.5393696,14.0,10,-0.09911102
2.0294034,3.0510314,-0.580372,56.0,3,-0.09910872
23.44753,35.23798,5.1969967,16.0,11,-0.099106416
2.2285507,3.347897,-0.49381462,27.0,4,-0.09910411
23.381142,35.111633,6.681317,8.0,12,-0.099101804
2.621211,3.9348028,-0.41364115,31.0,5,-0.0990995
3.141119,4.7134743,-0.29684958,38.0,6,-0.09909489
31.927364,47.891186,13.288308,9.0,14,-0.09909259
3.8600185,5.787856,-0.12143384,27.0,7,-0.099090286
25.228935,37.81491,12.180543,16.0,15,-0.09908798
1.425357,2.1307824,-0.68690574,45.0,0,-0.09906725
5.1146927,7.643126,0.16052724,60.0,8,-0.09906494
1.6445421,2.4565892,-0.6825015,36.0,1,-0.09906264
7.7728267,11.606523,0.73207545,32.0,9,-0.099060334
1.8582317,2.7747445,-0.64913225,28.0,2,-0.09905803
15.984199,23.858883,2.5125256,29.0,10,-0.09905572
2.0323422,3.0324426,-0.57818186,55.0,3,-0.09905342
23.62678,35.24,5.2094274,8.0,11,-0.09905112
2.2147923,3.3021786,-0.48820862,32.0,4,-0.099048816
23.310944,34.74274,6.6265645,16.0,12,-0.099046506
2.5698586,3.8301291,-0.40353107,31.0,5,-0.099044204
23.560167,35.100906,8.217381,19.0,13,-0.0990419
3.107452,4.627864,-0.29213932,30.0,6,-0.0990396
