x,y,z,intensity,ring,time
-0.026278555,3.9621406,-1.0616758,31.0,0,-0.09974837
-0.028590634,4.5502186,-1.0505214,25.0,1,-0.09974377
-0.03410796,5.5833917,-1.0853217,30.0,2,-0.09973916
-0.041323163,7.17445,-1.1363401,30.0,3,-0.09973455
-0.053831916,9.949137,-1.2216184,31.0,4,-0.09972994
-0.08102827,15.474677,-1.3538773,12.0,5,-0.099725336
-0.012471163,3.9699357,-1.0637463,38.0,0,-0.099693075
-0.012833368,4.595112,-1.0608691,28.0,1,-0.09968847
-0.014503524,5.540285,-1.076926,32.0,2,-0.09968386
-0.016246127,7.160723,-1.13415,32.0,3,-0.099679254
-0.018834077,9.808324,-1.204313,37.0,4,-0.09967464
-0.027076492,15.514713,-1.3573635,18.0,5,-0.09967004
0.0013736017,3.9351819,-1.0544289,42.0,0,-0.099637784
0.0032309936,4.628257,-1.0685174,31.0,1,-0.09963317
0.004791772,5.491221,-1.0673856,30.0,2,-0.09962857
0.008719092,7.1370306,-1.1303955,40.0,3,-0.099623956
0.013608396,9.746794,-1.1967571,41.0,4,-0.09961935
0.026642215,15.265664,-1.3355745,16.0,5,-0.09961474
0.08011352,38.25342,-2.0047815,8.0,6,-0.099610135
0.014486061,3.9525418,-1.0590875,39.0,0,-0.099582486
0.01839799,4.5834002,-1.0581697,33.0,1,-0.099577874
0.023197545,5.538292,-1.0765444,29.0,2,-0.09957327
0.032375902,7.134988,-1.1300827,32.0,3,-0.09956866
0.045619223,9.681188,-1.1887137,33.0,4,-0.09956405
0.074445345,14.707631,-1.2867674,14.0,5,-0.09955945
0.20390755,37.68573,-1.9750546,8.0,6,-0.09955484
0.027594177,3.9524722,-1.0590875,41.0,0,-0.09952719
0.033096135,4.5151095,-1.0424232,25.0,1,-0.09952258
0.041210975,5.4910684,-1.0673856,34.0,2,-0.09951797
0.055615906,7.0815077,-1.1216353,40.0,3,-0.09951337
0.07752628,9.450707,-1.16044,30.0,4,-0.099508755
0.12666704,14.810883,-1.2958316,14.0,5,-0.09950415
0.3275098,37.529064,-1.9668901,25.0,6,-0.09949954
0.042367592,3.9793892,-1.0663346,39.0,0,-0.09947189
0.049342804,4.5597854,-1.052771,30.0,1,-0.099467285
0.0607651,5.4398384,-1.0574635,32.0,2,-0.09946268
0.08175778,7.0970583,-1.1241382,32.0,3,-0.09945807
0.11014155,9.41862,-1.1565402,37.0,4,-0.099453464
0.17729011,14.720698,-1.2879876,20.0,5,-0.09944885
0.4611894,37.216064,-1.9505612,16.0,6,-0.09944425
0.05524857,3.9077454,-1.0471818,36.0,0,-0.0994166
0.066449106,4.5868535,-1.0590695,30.0,1,-0.09941199
0.079639636,5.4317417,-1.055937,29.0,2,-0.09940738
0.106347874,7.0848784,-1.1222609,40.0,3,-0.09940277
0.14347516,9.340743,-1.1470344,41.0,4,-0.099398166
0.22894225,14.737919,-1.2895564,24.0,5,-0.099393554
0.58996296,37.142338,-1.9467931,8.0,6,-0.09938895
0.06888612,3.9075289,-1.0471818,38.0,0,-0.0993613
0.08316164,4.6255617,-1.0680676,30.0,1,-0.099356696
