x,y,z,intensity,ring,time
-0.28639138,4.044831,-1.0865225,30.0,0,-0.09949541
-0.3314315,4.7042904,-1.0887631,33.0,1,-0.09949081
-0.4153805,5.9105234,-1.1517231,38.0,2,-0.099486195
-0.51425266,7.354148,-1.167627,31.0,3,-0.09948159
-0.7177158,10.289539,-1.2664663,43.0,4,-0.09947698
-1.168917,16.842995,-1.4771154,16.0,5,-0.09947237
-2.959003,42.853016,-2.2511792,10.0,6,-0.09946776
-0.27011442,4.0033536,-1.0751344,36.0,0,-0.09944011
-0.3171335,4.7248077,-1.0932621,30.0,1,-0.09943551
-0.39394063,5.8844447,-1.1463805,33.0,2,-0.0994309
-0.4843476,7.2730308,-1.1544864,34.0,3,-0.09942629
-0.6763519,10.182923,-1.2530607,45.0,4,-0.09942168
-1.1009682,16.663877,-1.4610788,16.0,5,-0.099417076
-2.7160387,41.328014,-2.1705818,10.0,6,-0.09941246
-0.2569618,4.006155,-1.075652,32.0,0,-0.09938482
-0.30220902,4.737502,-1.0959616,27.0,1,-0.09938021
-0.37442616,5.885719,-1.1463805,29.0,2,-0.099375606
-0.4583574,7.245025,-1.1497935,36.0,3,-0.09937099
-0.63568956,10.103993,-1.2430674,43.0,4,-0.09936639
-1.0357257,16.50836,-1.4471339,16.0,5,-0.09936178
-2.5503595,40.878315,-2.1465073,9.0,6,-0.09935717
-0.24262428,4.0012426,-1.0740991,31.0,0,-0.099329524
-0.28461576,4.7210207,-1.0919124,32.0,1,-0.09932491
-0.3438641,5.7204137,-1.113943,14.0,2,-0.09932031
-0.42858827,7.1716504,-1.1379044,37.0,3,-0.099315695
-0.59499794,10.0149975,-1.2318555,37.0,4,-0.09931109
-0.95748043,16.163816,-1.4166294,24.0,5,-0.09930649
-2.383221,40.47226,-2.1247354,9.0,6,-0.099301875
-0.2290975,4.0097804,-1.0761696,31.0,0,-0.099274226
-0.2679124,4.718095,-1.0910126,35.0,1,-0.09926962
-0.32445005,5.7313795,-1.115851,16.0,2,-0.09926501
-0.40210757,7.147463,-1.1338371,30.0,3,-0.099260405
-0.55428016,9.913949,-1.2191811,35.0,4,-0.09925579
-0.89971757,16.143188,-1.4145378,20.0,5,-0.09925119
-2.2240672,40.157265,-2.1077785,9.0,6,-0.09924658
-0.21344289,3.9796906,-1.0678874,36.0,0,-0.09921893
-0.248954,4.6722975,-1.080215,35.0,1,-0.09921432
-0.2938203,5.532507,-1.076926,14.0,2,-0.09920972
-0.3734107,7.0778084,-1.1225739,30.0,3,-0.09920511
-0.5169668,9.864283,-1.2128438,43.0,4,-0.0992005
-0.8410788,16.102457,-1.4107028,20.0,5,-0.09919589
-2.029021,39.10766,-2.0523024,9.0,6,-0.099191286
-0.19790445,3.947611,-1.0590875,34.0,0,-0.09916364
-0.2329348,4.678977,-1.0815647,36.0,1,-0.099159025
-0.27538043,5.551147,-1.0803605,14.0,2,-0.09915442
-0.34841225,7.07315,-1.1216353,25.0,3,-0.09914981
-0.47923592,9.7986145,-1.2045567,37.0,4,-0.099145204
-0.7855402,16.119226,-1.411923,16.0,5,-0.09914059
-1.8782204,38.819256,-2.036811,8.0,6,-0.09913599
-0.18484429,3.963716,-1.0632287,39.0,0,-0.09910834
-0.21497768,4.644722,-1.0734664,38.0,1,-0.099103734
-0.25193352,5.4638214,-1.0631877,17.0,2,-0.09909912
-0.32254443,7.04867,-1.117568,30.0,3,-0.09909452
-0.44394627,9.776431,-1.2016319,43.0,4,-0.099089906
-0.6639979,14.678864,-1.2855473,2.0,5,-0.0990853
-1.6354047,36.435265,-1.911414,7.0,6,-0.09908069
-0.17167409,3.979777,-1.0673697,32.0,0,-0.09905304
-0.19443241,4.5442023,-1.0500715,30.0,1,-0.099048436
-0.23779222,5.5803947,-1.0857033,29.0,2,-0.099043824
-0.29927406,7.0813303,-1.1225739,30.0,3,-0.09903922
-0.40898353,9.758087,-1.1991944,43.0,4,-0.09903461
-0.61275816,14.681091,-1.2855473,12.0,5,-0.09903
-1.5110102,36.5086,-1.9149728,7.0,6,-0.0990254
-0.15808794,3.9880733,-1.0694402,34.0,0,-0.09899775
-0.17895032,4.5545893,-1.0523211,32.0,1,-0.09899314
-0.21232736,5.4281745,-1.055937,24.0,2,-0.09898853
-0.27745965,7.1573405,-1.1344628,30.0,3,-0.09898392
-0.37568307,9.779292,-1.2016319,43.0,4,-0.09897932
-0.5717823,14.951916,-1.3090792,16.0,5,-0.098974705
-1.3772173,36.346004,-1.9061804,7.0,6,-0.0989701
-0.14360671,3.9731565,-1.0652993,34.0,0,-0.09894245
-0.16340026,4.564924,-1.0545706,36.0,1,-0.09893784
-0.19624212,5.5093246,-1.0715834,34.0,2,-0.098933235
-0.2516401,7.1345754,-1.1307085,30.0,3,-0.09892863
-0.3398101,9.7309475,-1.1955384,45.0,4,-0.09892402
-0.5096963,14.669082,-1.2841527,26.0,5,-0.098919414
-1.2103004,35.186874,-1.8451566,14.0,6,-0.0989148
-0.13005106,3.9832878,-1.0678874,36.0,0,-0.09888715
-0.14796677,4.581048,-1.0581697,30.0,1,-0.09888255
-0.17688224,5.5060515,-1.0708202,30.0,2,-0.09887794
-0.224913,7.0781536,-1.1216353,35.0,3,-0.09887333
-0.30541092,9.718184,-1.1938322,43.0,4,-0.09886872
-0.46097407,14.750428,-1.2911252,22.0,5,-0.098864116
-1.0887878,35.232807,-1.8473547,29.0,6,-0.098859504
-0.11603425,3.9798553,-1.0668522,42.0,0,-0.09883186
-0.13006604,4.515307,-1.042873,27.0,1,-0.09882725
-0.15558366,5.4340243,-1.0567002,29.0,2,-0.098822646
-0.19942054,7.051251,-1.1172551,42.0,3,-0.098818034
-0.27059683,9.687443,-1.1899325,43.0,4,-0.09881343
-0.4088706,14.730039,-1.2892077,24.0,5,-0.09880882
-0.96578634,35.236393,-1.8473547,22.0,6,-0.09880421
-0.10070299,3.9242308,-1.0518407,41.0,0,-0.098776564
-0.11504326,4.5137653,-1.0424232,28.0,1,-0.09877195
-0.13833977,5.5032268,-1.0700569,30.0,2,-0.09876735
-0.17485496,7.0044794,-1.1097462,35.0,3,-0.098762736
-0.2344137,9.523574,-1.169702,41.0,4,-0.09875813
-0.35195103,14.504312,-1.2693362,16.0,5,-0.09875352
-0.088078395,3.9419258,-1.0564994,42.0,0,-0.098721266
-0.09830195,4.4693294,-1.0320754,27.0,1,-0.09871666
-0.118420444,5.427107,-1.0551738,32.0,2,-0.09871205
-0.14989632,6.9813476,-1.1059917,38.0,3,-0.098707445
-0.20104049,9.51838,-1.1689708,43.0,4,-0.09870283
-0.30209458,14.421736,-1.2620151,24.0,5,-0.09869823
-0.07417315,3.9344828,-1.0544289,45.0,0,-0.09866597
-0.08219459,4.4423676,-1.0257769,27.0,1,-0.09866136
-0.099332824,5.4196353,-1.0536473,32.0,2,-0.09865676
-0.12516901,6.9620776,-1.1028631,40.0,3,-0.09865215
-0.16568595,9.397951,-1.1541028,45.0,4,-0.09864754
-0.25112173,14.386846,-1.2588775,24.0,5,-0.09864293
-0.4834078,28.25908,-1.4812124,4.0,6,-0.098638326
-0.059191603,3.8535895,-1.032688,27.0,0,-0.09861068
-0.06689513,4.456267,-1.0289261,36.0,1,-0.098606065
-0.07988847,5.384614,-1.0467782,28.0,2,-0.09860146
-0.10069583,6.9506216,-1.1009859,33.0,3,-0.09859685
-0.13054828,9.233727,-1.1338725,30.0,4,-0.098592244
-0.1983723,14.206346,-1.2430152,28.0,5,-0.09858763
-0.38086668,27.975012,-1.4662442,13.0,6,-0.09858303
-0.04633477,3.9039972,-1.0461466,36.0,0,-0.09855538
-0.05131581,4.4545245,-1.0284761,32.0,1,-0.098550774
-0.06133573,5.4064546,-1.050976,34.0,2,-0.09854616
-0.07634761,6.94303,-1.0997344,42.0,3,-0.09854156
-0.097789325,9.184502,-1.127779,45.0,4,-0.098536946
-0.14784579,14.117298,-1.2351712,24.0,5,-0.09853234
-0.27988318,27.64664,-1.4489734,9.0,6,-0.09852773
-0.032545976,3.8848176,-1.0409703,30.0,0,-0.09850008
-0.035546087,4.4273953,-1.0221776,34.0,1,-0.098495476
-0.04257238,5.4203787,-1.0536473,32.0,2,-0.098490864
-0.05207995,6.939304,-1.0991087,35.0,3,-0.09848626
-0.06527183,9.121266,-1.1199794,41.0,4,-0.09848165
-0.097004704,13.894587,-1.2156483,24.0,5,-0.09847704
-0.17889205,26.972391,-1.4135944,8.0,6,-0.09847243
-0.019118227,3.911953,-1.0482172,36.0,0,-0.09844479
-0.020286864,4.470364,-1.0320754,37.0,1,-0.09844018
-0.023378477,5.3576703,-1.0414355,33.0,2,-0.09843557
-0.027660152,6.890059,-1.0912869,28.0,3,-0.09843096
-0.03326251,9.075781,-1.1143733,37.0,4,-0.09842636
-0.047831215,13.70158,-1.19874,30.0,5,-0.098421745
-0.08436239,26.855013,-1.4074187,8.0,6,-0.09841714
-0.005415104,3.8772228,-1.0388998,42.0,0,-0.09838949
-0.004666782,4.4567666,-1.0289261,29.0,1,-0.09838488
-0.0046657035,5.3439765,-1.0387642,34.0,2,-0.098380275
-0.003594945,6.866409,-1.0875325,28.0,3,-0.09837566
-0.0015547303,8.909095,-1.0938994,39.0,4,-0.09837106
1.6110982e-07,13.510393,-1.1820061,40.0,5,-0.098366454
0.009185736,26.315884,-1.3791573,8.0,6,-0.09836184
0.008055261,3.846308,-1.0306175,32.0,0,-0.09833419
0.010860758,4.445063,-1.0262268,29.0,1,-0.09832959
0.013922893,5.318438,-1.0338032,30.0,2,-0.09832498
0.020201912,6.809094,-1.0784594,30.0,3,-0.09832037
0.029318145,8.841553,-1.0856122,46.0,4,-0.09831576
0.044208754,12.665544,-1.1080981,26.0,5,-0.098311156
0.1003927,26.143929,-1.3701555,8.0,6,-0.098306544
0.02138525,3.8288703,-1.0259588,31.0,0,-0.0982789
0.026551506,4.474229,-1.0329752,27.0,1,-0.09827429
0.032788865,5.367438,-1.0433437,30.0,2,-0.098269686
0.0437294,6.7714505,-1.0725149,27.0,3,-0.098265074
0.06057071,8.898963,-1.0926807,41.0,4,-0.09826047
0.09139949,13.091672,-1.1454008,22.0,5,-0.09825586
0.18614358,25.394466,-1.3309034,3.0,6,-0.09825125
0.03478463,3.8326359,-1.026994,35.0,0,-0.098223604
0.041984715,4.4546223,-1.0284761,32.0,1,-0.09821899
0.051184174,5.3319535,-1.0364745,27.0,2,-0.09821439
0.06667989,6.702122,-1.0615644,31.0,3,-0.098209776
0.08852889,8.596979,-1.0556324,28.0,4,-0.09820517
0.1333244,12.730671,-1.1138504,24.0,5,-0.09820056
0.04821239,3.8363545,-1.0280293,37.0,0,-0.09820151
0.0570297,4.4154773,-1.0194782,23.0,1,-0.09819691
0.07015704,5.3592253,-1.0418171,30.0,2,-0.0981923
0.08996346,6.6939473,-1.060313,33.0,3,-0.09818769
0.121577784,8.816942,-1.0826874,41.0,4,-0.09818308
0.1814807,12.997083,-1.1372081,24.0,5,-0.098178476
0.30972973,21.640083,-1.1342249,9.0,6,-0.098173864
0.061445747,3.826505,-1.025441,32.0,0,-0.098146215
0.073306605,4.46786,-1.0316256,28.0,1,-0.09814161
0.08801384,5.3079104,-1.0318952,27.0,2,-0.098137
0.11343125,6.699518,-1.0612515,42.0,3,-0.098132394
0.15344958,8.879977,-1.0904869,43.0,4,-0.09812778
