x,y,z,intensity,ring,time
-2.2828157,4.560664,-1.3665646,36.0,0,-0.09948993
-2.7335067,5.4658313,-1.410893,35.0,1,-0.09948532
-16.01162,32.01631,1.8760349,4.0,9,-0.09948301
-3.654446,7.3104997,-1.5886757,31.0,2,-0.09948071
-6.3300705,12.668454,1.239006,11.0,10,-0.09947841
-4.8907256,9.792148,-1.7336069,33.0,3,-0.09947611
-5.842297,11.70248,1.6059943,28.0,11,-0.0994738
-7.9215474,15.867347,-2.1775615,11.0,4,-0.099471495
-5.7940307,11.61087,2.0552363,28.0,12,-0.09946919
-5.590634,11.21307,2.4354863,20.0,13,-0.09946458
-23.288,46.728897,-2.7362287,17.0,6,-0.09946228
-5.9419856,11.922983,3.0755308,22.0,14,-0.099459976
-2.277129,4.5872426,-1.3722585,37.0,0,-0.09943463
-6.4768467,13.0532465,0.25435138,35.0,8,-0.09943233
-2.701511,5.4469337,-1.4036945,42.0,1,-0.099430025
-23.428957,47.238743,2.7634435,9.0,9,-0.09942772
-3.6511133,7.3647933,-1.5978346,34.0,2,-0.09942541
-6.029708,12.168094,1.1881071,33.0,10,-0.09942311
-4.810878,9.712726,-1.7167121,33.0,3,-0.09942081
-5.9223657,11.961952,1.6388991,42.0,11,-0.099418506
-7.819566,15.793904,-2.1639123,7.0,4,-0.0994162
-5.7484827,11.615857,2.0527334,28.0,12,-0.099413894
-5.576046,11.277304,2.4454083,36.0,13,-0.09940929
-23.065645,46.669792,-2.7282736,17.0,6,-0.09940698
-23.063486,46.685932,-0.9089213,19.0,7,-0.099402376
-2.2183886,4.506375,-1.345859,26.0,0,-0.09937934
-6.4291134,13.065681,0.25417686,29.0,8,-0.09937703
-2.677414,5.4436207,-1.4005452,38.0,1,-0.09937473
-6.274855,12.763432,0.7453688,13.0,9,-0.099372424
-3.6206055,7.3645287,-1.5951633,47.0,2,-0.09937012
-5.9620857,12.132587,1.1827034,13.0,10,-0.09936781
-4.7803864,9.732171,-1.7173377,52.0,3,-0.09936551
-5.7698035,11.751662,1.6074568,28.0,11,-0.09936321
-7.727651,15.746259,-2.1536753,7.0,4,-0.099360906
-5.345994,10.898081,1.9225799,46.0,12,-0.099358596
-5.5092278,11.235799,2.4324331,51.0,13,-0.09935399
-22.988117,46.903843,-2.737485,17.0,6,-0.09935169
-23.093866,47.161255,-0.9166004,19.0,7,-0.09934708
-2.188244,4.4845757,-1.3370593,30.0,0,-0.09932404
-6.4202805,13.163532,0.25564286,40.0,8,-0.09932174
-2.6712067,5.479208,-1.4072938,35.0,1,-0.09931943
-3.518336,7.220048,-1.5611992,36.0,2,-0.099314824
-5.907481,12.12825,1.180263,38.0,10,-0.09931252
-4.7360115,9.727485,-1.7135834,60.0,3,-0.09931021
-5.7582836,11.8324175,1.6157439,22.0,11,-0.09930791
-7.6821866,15.792775,-2.1563563,11.0,4,-0.09930561
-5.6327033,11.584642,2.0402186,46.0,12,-0.099303305
-5.4622474,11.239072,2.4289987,8.0,13,-0.09929869
-23.171581,47.69881,-2.779144,18.0,6,-0.09929639
-2.1549122,4.455665,-1.3261888,27.0,0,-0.09926874
-6.4030156,13.245273,0.25679472,26.0,8,-0.09926644
-2.6427364,5.469198,-1.4023448,31.0,1,-0.09926414
-5.9832034,12.387883,0.7209802,3.0,9,-0.09926183
-3.4888406,7.223447,-1.5592911,31.0,2,-0.099259526
-5.877239,12.173914,1.1827034,38.0,10,-0.09925722
-4.658241,9.653226,-1.697627,45.0,3,-0.09925492
-5.697108,11.811324,1.6101379,52.0,11,-0.09925262
-7.6183963,15.801615,-2.153919,11.0,4,-0.09925031
-5.7011395,11.830235,2.079953,31.0,12,-0.09924801
-5.4153166,11.24215,2.425564,5.0,13,-0.0992434
-23.17824,48.13931,-2.8000786,19.0,6,-0.09924109
-6.2342224,12.953753,3.3189278,17.0,14,-0.09923879
-22.39997,46.56448,-0.9019404,18.0,7,-0.09923649
-2.1435223,4.4718704,-1.3287771,31.0,0,-0.09921344
-6.3109508,13.171962,0.25494474,47.0,8,-0.09921114
-2.5697606,5.365904,-1.3735511,28.0,1,-0.09920884
-5.956312,12.442921,0.722969,2.0,9,-0.09920654
