x,y,z,intensity,ring,time
0.22793338,3.7698858,-1.0119824,32.0,0,-0.09954214
0.26319116,4.327952,-1.0010322,31.0,1,-0.09953754
0.31132656,5.1047926,-0.9941149,31.0,2,-0.099532925
0.39135313,6.380328,-1.0124439,25.0,3,-0.09952832
0.52043253,8.436486,-1.0378394,45.0,4,-0.09952371
0.76678985,12.394869,-1.0864835,40.0,5,-0.099519104
1.3878795,22.308197,-1.1713835,3.0,6,-0.09951449
0.24195561,3.7825627,-1.015606,31.0,0,-0.09948684
0.27591926,4.301774,-0.99518347,30.0,1,-0.09948224
0.3306613,5.127186,-0.9986943,36.0,2,-0.09947763
0.41250765,6.3789954,-1.0124439,25.0,3,-0.09947302
0.54080564,8.317841,-1.0234588,45.0,4,-0.09946841
0.80303085,12.284757,-1.0770707,26.0,5,-0.099463806
1.2767458,19.479414,-1.0230633,17.0,6,-0.09945919
0.25657415,3.812579,-1.0238881,31.0,0,-0.09943155
0.29040864,4.2930074,-0.9933839,32.0,1,-0.09942694
0.34009093,5.014412,-0.9769421,34.0,2,-0.099422336
0.43168354,6.332188,-1.005248,26.0,3,-0.09941772
0.5698352,8.315903,-1.0234588,45.0,4,-0.09941312
0.84180397,12.222247,-1.0718412,36.0,5,-0.09940851
1.3382635,19.381191,-1.0181438,22.0,6,-0.0994039
0.27177638,3.8289564,-1.0285469,28.0,0,-0.099376254
0.30705312,4.315293,-0.99878263,30.0,1,-0.09937164
0.36490747,5.1032114,-0.9944966,34.0,2,-0.09936704
0.44922772,6.2517514,-0.99273324,32.0,3,-0.099362426
0.5940127,8.246543,-1.0151716,41.0,4,-0.09935782
0.88978195,12.292761,-1.0782908,38.0,5,-0.09935322
1.3878521,19.081339,-1.0026524,17.0,6,-0.099348605
0.2812649,3.7759683,-1.0145707,29.0,0,-0.099320956
0.31777623,4.2461233,-0.98303616,28.0,1,-0.09931635
0.37963605,5.0607934,-0.9864825,28.0,2,-0.09931174
0.46896803,6.2225685,-0.9883531,30.0,3,-0.099307135
0.6161387,8.137422,-1.0020097,37.0,4,-0.09930252
0.90750444,11.957805,-1.0491807,26.0,5,-0.09929792
1.4687185,19.263578,-1.0124915,20.0,6,-0.09929331
0.2982005,3.8231134,-1.0275117,34.0,0,-0.09926566
0.33291948,4.2586455,-0.98618543,32.0,1,-0.09926105
0.40206265,5.120112,-0.9983127,37.0,2,-0.09925645
0.488672,6.2091627,-0.9864758,30.0,3,-0.09925184
0.6429658,8.133355,-1.0017661,50.0,4,-0.09924723
0.9389918,11.825466,-1.0378506,22.0,5,-0.09924262
1.5376663,19.322313,-1.015841,22.0,6,-0.099238016
0.30758712,3.7816684,-1.0166413,31.0,0,-0.09921037
