x,y,z,intensity,ring,time
0.3480145,3.5879972,-0.9659127,34.0,0,-0.09948611
0.39782155,4.086678,-0.94794375,30.0,1,-0.09948151
0.47334525,4.853698,-0.94793916,30.0,2,-0.099476896
0.58110714,5.9372683,-0.94486433,33.0,3,-0.09947229
0.73411214,7.473636,-0.9220635,41.0,4,-0.09946768
1.0471818,10.641755,-0.9355297,39.0,5,-0.099463075
1.6423215,16.630169,-0.87579,26.0,6,-0.09945846
0.36092076,3.5906048,-0.966948,34.0,0,-0.099430814
0.4060205,4.025159,-0.93399686,33.0,1,-0.09942621
0.48672882,4.816857,-0.94107,27.0,2,-0.0994216
0.5992394,5.909654,-0.94079703,33.0,3,-0.09941699
0.75497276,7.4196806,-0.9157263,41.0,4,-0.09941238
1.0819005,10.61425,-0.93343794,41.0,5,-0.09940778
1.6704922,16.332262,-0.8604032,16.0,6,-0.099403165
0.37105402,3.5662653,-0.96073633,32.0,0,-0.09937552
0.42006952,4.023717,-0.93399686,33.0,1,-0.09937091
0.50517464,4.830749,-0.94412297,28.0,2,-0.09936631
0.62006927,5.9094915,-0.94110984,33.0,3,-0.099361695
0.7810704,7.418975,-0.91597,43.0,4,-0.09935709
1.1139275,10.562856,-0.92925453,43.0,5,-0.09935248
1.7087926,16.14956,-0.8510874,19.0,6,-0.099347875
0.38597912,3.5879977,-0.966948,34.0,0,-0.099320225
0.431395,3.9970388,-0.9281481,37.0,1,-0.09931561
0.5245651,4.852379,-0.94870234,28.0,2,-0.09931101
0.63750005,5.8778324,-0.9364168,24.0,3,-0.0993064
0.80052274,7.357,-0.9086579,43.0,4,-0.09930179
1.1559756,10.606438,-0.93343794,48.0,5,-0.09929719
1.7341,15.859583,-0.8361193,16.0,6,-0.09929258
0.39658222,3.5693483,-0.9622893,31.0,0,-0.09926493
0.443399,3.9780777,-0.92409897,33.0,1,-0.09926032
0.5360557,4.8017397,-0.93916196,27.0,2,-0.09925571
0.64657736,5.7734904,-0.92014766,26.0,3,-0.09925111
0.8204384,7.3028703,-0.9023207,39.0,4,-0.099246494
1.1765039,10.455826,-0.9205389,36.0,5,-0.09924189
1.753387,15.533903,-0.8192671,15.0,6,-0.09923728
0.40529954,3.5353143,-0.9534894,38.0,0,-0.09920963
0.45658946,3.9765854,-0.92409897,32.0,1,-0.099205025
0.54764843,4.754981,-0.93038476,27.0,2,-0.09920042
0.6811134,5.904755,-0.9414227,30.0,3,-0.09919581
0.8469347,7.319829,-0.9047581,39.0,4,-0.0991912
1.1920904,10.271558,-0.90467656,43.0,5,-0.09918659
1.8258784,15.708538,-0.8287923,15.0,6,-0.09918199
0.41950879,3.555055,-0.9591834,42.0,0,-0.09915434
0.4686362,3.9594853,-0.9204997,33.0,1,-0.09914973
0.5673389,4.7862825,-0.93687224,28.0,2,-0.09914512
