x,y,z,intensity,ring,time
0.115999125,3.931539,-1.0539112,38.0,0,-0.09889197
0.14136527,4.735278,-1.0937121,31.0,1,-0.09888737
0.17077218,5.686948,-1.105929,29.0,2,-0.09888276
0.2174264,7.1574397,-1.13415,40.0,3,-0.09887815
0.29849568,9.714427,-1.1933447,43.0,4,-0.09887354
0.45858806,14.840202,-1.2989691,22.0,5,-0.09886894
1.2098101,38.711945,-2.0297978,17.0,6,-0.098864324
0.12895666,3.9079409,-1.0476996,34.0,0,-0.098836675
0.15558252,4.6899867,-1.0833644,36.0,1,-0.09883207
0.18917401,5.64315,-1.0975335,30.0,2,-0.09882746
0.23790225,7.059941,-1.1188195,30.0,3,-0.098822854
0.32713097,9.608235,-1.1804266,39.0,4,-0.09881824
0.5074461,14.752889,-1.2914737,24.0,5,-0.09881364
1.3358921,38.641853,-2.0263438,8.0,6,-0.098809026
0.14240518,3.9210057,-1.051323,29.0,0,-0.098781385
0.17088276,4.6602035,-1.0766158,35.0,1,-0.09877677
0.20549987,5.5777483,-1.0849401,30.0,2,-0.09877217
0.26151863,7.0314307,-1.1144392,30.0,3,-0.098767556
0.35426137,9.436438,-1.1594651,35.0,4,-0.09876295
0.54878527,14.550037,-1.2738683,20.0,5,-0.09875834
1.2051746,31.659592,-1.6604108,5.0,6,-0.098753735
0.1556311,3.9089026,-1.0482172,31.0,0,-0.09872609
0.18574016,4.6245294,-1.0685174,31.0,1,-0.098721474
0.22425787,5.5593414,-1.0815054,32.0,2,-0.09871687
0.27891234,6.8548117,-1.0865939,23.0,3,-0.09871226
0.3842708,9.363739,-1.1506904,46.0,4,-0.09870765
0.60563916,14.695345,-1.2867674,26.0,5,-0.09870305
1.2949382,31.156307,-1.6342428,5.0,6,-0.09869844
0.16944113,3.912196,-1.0492525,36.0,0,-0.09867079
0.20035064,4.588809,-1.0604193,28.0,1,-0.09866618
0.24262933,5.5349884,-1.076926,30.0,2,-0.09866157
0.30737454,6.956415,-1.1028631,23.0,3,-0.09865697
0.41412583,9.298881,-1.1428908,41.0,4,-0.098652355
0.6168005,13.79547,-1.2081529,24.0,5,-0.09864775
1.4036796,31.151598,-1.6342428,5.0,6,-0.09864314
0.18372956,3.925089,-1.052876,34.0,0,-0.09861549
0.2128241,4.5297217,-1.0469222,28.0,1,-0.098610885
0.2612075,5.5184197,-1.073873,30.0,2,-0.09860628
0.32462776,6.8330226,-1.0834652,19.0,3,-0.09860167
0.43404943,9.069432,-1.1148609,37.0,4,-0.098597065
0.7012068,14.545484,-1.2740426,24.0,5,-0.09859245
1.3353685,27.599794,-1.4481361,4.0,6,-0.09858785
0.19471253,3.8839397,-1.0420054,29.0,0,-0.0985602
0.2270615,4.497811,-1.0397238,24.0,1,-0.09855559
0.28059724,5.539091,-1.0780709,34.0,2,-0.09855098
