x,y,z,intensity,ring,time
-1.9265636,4.4392643,-1.2966834,31.0,0,-0.09857297
-2.3247848,5.361985,-1.3492564,35.0,1,-0.098568365
-5.6106668,12.940687,0.73919314,58.0,9,-0.098566055
-3.0031445,6.929898,-1.4680845,40.0,2,-0.09856375
-5.3770814,12.413806,1.183575,19.0,10,-0.09856145
-4.083488,9.431864,-1.6278572,39.0,3,-0.09855915
-4.9896293,11.530348,1.5426223,12.0,11,-0.09855684
-6.307613,14.583009,-1.9508847,45.0,4,-0.09855454
-5.23846,12.11116,2.0899646,42.0,12,-0.098552234
-19.048775,44.06129,-4.1996865,12.0,5,-0.09854993
-5.280766,12.220675,2.5877516,19.0,13,-0.09854762
-4.8961005,11.341358,2.8519294,56.0,14,-0.09854302
-20.033085,46.404766,-0.88225406,16.0,7,-0.098540716
-5.301747,12.286892,3.5856793,22.0,15,-0.098538406
-1.9232632,4.474359,-1.3049657,34.0,0,-0.09851767
-2.3192976,5.3983135,-1.3564548,38.0,1,-0.09851307
-3.0006201,6.990853,-1.4787698,35.0,2,-0.098508455
-5.0037923,11.663481,1.1103642,16.0,10,-0.09850615
-4.032716,9.39997,-1.6200355,21.0,3,-0.09850385
-4.8981695,11.422767,1.5260481,72.0,11,-0.09850155
-6.252966,14.589249,-1.9489347,66.0,4,-0.09849924
-5.238154,12.227425,2.1068597,48.0,12,-0.098496936
-18.855635,44.035946,-4.190971,12.0,5,-0.098494634
-5.0671062,11.833854,2.5022693,50.0,13,-0.09849233
-4.792547,11.203447,2.813238,43.0,14,-0.09848772
-20.235746,47.327564,-0.8984499,18.0,7,-0.09848542
-5.1570926,12.067284,3.5163157,2.0,15,-0.098483115
-1.9046289,4.471826,-1.3023775,33.0,0,-0.09846238
-5.789152,13.598775,0.25798148,10.0,8,-0.09846007
-2.30273,5.411756,-1.3578045,40.0,1,-0.09845777
-5.953332,13.991209,0.7968674,40.0,9,-0.09845547
-2.9635885,6.968246,-1.4719007,35.0,2,-0.098453164
-4.9315734,11.601164,1.1028687,5.0,10,-0.098450854
-3.9357653,9.263088,-1.5940675,28.0,3,-0.09844855
-4.9265475,11.600586,1.547497,22.0,11,-0.09844625
-6.1934657,14.590887,-1.9462537,60.0,4,-0.09844395
-4.7707515,11.239182,1.933843,46.0,12,-0.09844164
-18.661263,43.98451,-4.1801634,12.0,5,-0.098439336
-5.0112066,11.817126,2.4950185,53.0,13,-0.09843703
-4.7716575,11.263172,2.8240356,47.0,14,-0.09843243
-19.326725,45.619415,-0.86480165,15.0,7,-0.09843012
-5.144168,12.14836,3.5349507,4.0,15,-0.09842782
-1.8522193,4.3912272,-1.2770132,30.0,0,-0.09840708
-19.786627,46.90998,0.8886765,19.0,8,-0.09840478
-2.2703884,5.3852434,-1.3492564,37.0,1,-0.09840247
-5.542266,13.15238,0.74798554,23.0,9,-0.09840017
-2.9194345,6.931505,-1.4619786,28.0,2,-0.098397866
-4.7975063,11.396116,1.0817771,33.0,10,-0.09839556
-3.9556088,9.396252,-1.6147168,36.0,3,-0.098393254
-4.6871114,11.139303,1.4838812,50.0,11,-0.09839095
-6.158133,14.642452,-1.9503973,42.0,4,-0.09838865
-4.850904,11.53985,1.9826506,52.0,12,-0.09838635
-4.7316837,11.261723,2.3744273,27.0,13,-0.098381735
-4.6769567,11.142372,2.7898428,45.0,14,-0.09837713
-19.340668,46.099648,-0.87262034,15.0,7,-0.09837483
-5.113681,12.194749,3.543233,28.0,15,-0.09837252
-1.8354115,4.391999,-1.2754604,35.0,0,-0.098351784
-5.610132,13.431204,0.25407213,21.0,8,-0.09834948
-2.2313042,5.344582,-1.3371091,34.0,1,-0.09834718
-5.4893956,13.155058,0.74704355,40.0,9,-0.09834487
-2.8956747,6.9393373,-1.461597,26.0,2,-0.09834257
-4.753556,11.39725,1.0803826,49.0,10,-0.098340265
-3.8452592,9.224026,-1.5828041,24.0,3,-0.09833796
-4.6252913,11.100625,1.476569,52.0,11,-0.09833566
-6.0459247,14.517258,-1.9308981,40.0,4,-0.09833335
-4.818946,11.576773,1.9860923,63.0,12,-0.09833105
-4.681783,11.252795,2.3690846,46.0,13,-0.098326445
-4.605875,11.081251,2.7704973,53.0,14,-0.09832183
-19.494165,46.92402,-0.8869313,17.0,7,-0.09831953
-4.9858875,12.007346,3.4837046,52.0,15,-0.09831723
-1.807489,4.370133,-1.2671782,35.0,0,-0.098296486
-5.4936676,13.282547,0.2508958,7.0,8,-0.09829418
-2.2089133,5.3433337,-1.3348596,37.0,1,-0.09829188
-5.4808183,13.264587,0.7521724,13.0,9,-0.09828958
-2.8672254,6.942645,-1.4600705,26.0,2,-0.09828728
-4.715554,11.423803,1.0812541,55.0,10,-0.09828497
-3.7586858,9.110233,-1.5609033,35.0,3,-0.098282665
-4.582727,11.107529,1.4753504,24.0,11,-0.09828036
-5.9596477,14.45202,-1.9194423,47.0,4,-0.09827806
-4.8801303,11.8400755,2.0283296,30.0,12,-0.09827575
-4.6412582,11.271693,2.369466,55.0,13,-0.09827115
-4.5770874,11.126895,2.7776957,47.0,14,-0.098266535
-19.315023,46.9548,-0.8862332,16.0,7,-0.09826423
-4.928519,11.987153,3.4728339,35.0,15,-0.09826193
-1.7819725,4.3513875,-1.2599311,35.0,0,-0.098241195
-2.1634867,5.2882667,-1.319113,32.0,1,-0.09823658
-5.4382606,13.292882,0.7526958,23.0,9,-0.09823428
-2.835541,6.93444,-1.4562544,26.0,2,-0.09823198
-4.6975055,11.493681,1.0863092,35.0,10,-0.09822968
-3.7149117,9.094038,-1.5558974,45.0,3,-0.09822737
-4.550241,11.144465,1.4780315,48.0,11,-0.098225065
-5.845131,14.323056,-1.8994557,32.0,4,-0.09822276
-4.791,11.739986,2.0083058,33.0,12,-0.09822046
-4.608552,11.304191,2.3729007,49.0,13,-0.09821585
-19.145674,46.985348,-2.6589808,15.0,6,-0.098213546
-4.6815577,11.494739,2.8654265,56.0,14,-0.098211244
-18.887016,46.373737,-0.8740165,15.0,7,-0.098208934
-4.9135923,12.070489,3.4919868,33.0,15,-0.09820663
-1.7950823,4.427402,-1.2801191,33.0,0,-0.0981859
-5.141584,12.681234,0.23885363,35.0,8,-0.098183595
-2.1356928,5.270127,-1.3128144,37.0,1,-0.09818129
